id,anime_id
531,3044
532,30921
533,32568
534,30355
535,20423
536,602
537,539
538,18295
539,28119
540,10838
541,2038
542,15649
543,31
544,1364
545,7551
546,2704
547,2928
548,2253
549,6795
550,2037
551,21195
552,5918
553,36565
554,2129
555,5643
556,32982
557,15411
558,5941
559,6418
560,3059
561,12067
562,36566
563,8664
564,293
565,9493
566,757
567,7311
568,1731
569,1333
570,1681
571,20969
572,144
573,23987
574,10491
575,576
576,6758
577,4437
578,512
579,130
580,1462
581,12231
582,2595
583,21899
584,12875
585,32665
586,28735
587,16
588,302
589,23835
590,689
591,28833
592,5002
593,333
594,21639
595,574
596,33170
597,33487
598,15961
599,14653
600,1669
601,8958
602,36655
603,1650
604,13267
605,509
606,15583
607,751
608,1883
609,1033
610,4535
611,1371
612,33454
613,527
614,18465
615,6347
616,32648
617,1933
618,180
619,379
620,34238
621,36497
622,17867
623,46
624,32936
625,24821
626,7904
627,34102
628,17635
629,25969
630,3073
631,22319
632,1194
633,10807
634,36475
635,1096
636,11371
637,25875
638,1601
639,4657
640,28977
641,21031
642,708
643,825
644,1034
645,1549
646,9723
647,2125
648,34881
649,6463
650,33729
651,91
652,34005
653,36094
654,1891
655,27887
656,8490
657,32454
658,4874
659,2619
660,35044
661,13057
662,7211
663,241
664,34234
665,32071
666,8195
667,34481
668,416
669,35180
670,19365
671,1132
672,2267
673,11533
674,987
675,15605
676,31741
677,1569
678,732
679,2246
680,31683
681,997
682,18139
683,2621
684,9362
685,519
686,2571
687,37032
688,28221
689,30342
690,16405
691,30030
692,33541
693,21743
694,339
695,8181
696,31631
697,10562
698,7761
699,18679
700,30892
701,1457
702,37341
703,779
704,6987
705,177
706,30454
707,35839
708,23581
709,21179
710,25541
711,275
712,3784
713,3665
714,2307
715,16419
716,34126
717,2165
718,3918
719,4534
720,2138
721,2059
722,280
723,1699
724,32365
725,11103
726,16067
727,760
728,28625
729,317
730,32271
731,36771
732,8995
733,32951
734,33484
735,19067
736,32999
737,303
738,744
739,958
740,5419
741,23213
742,34051
743,34537
744,8894
745,8560
746,4085
747,16021
748,30300
749,18153
750,16656
751,33981
752,2200
753,1276
754,34618
755,4729
756,1719
757,2227
758,1481
759,23775
760,17549
761,3010
762,8635
763,33027
764,8955
765,4550
766,8206
767,32961
768,8410
769,34984
770,34013
771,16742
772,30625
773,12437
774,19697
775,2036
776,3661
777,5841
778,5369
779,4101
780,103
781,35472
782,24211
783,94
784,31143
785,385
786,1777
787,32670
788,24913
789,31377
790,31178
791,6783
792,248
793,35857
794,5762
795,1961
796,3974
797,9624
798,11441
799,29846
800,35206
801,2288
802,11735
803,32214
804,3642
805,9136
806,17080
807,7044
808,24713
809,34151
810,2518
811,3011
812,31592
813,33529
814,27829
815,31378
816,9884
817,33113
818,1243
819,34741
820,2929
821,16664
822,2851
823,28779
824,31402
825,33835
826,6726
827,6205
828,935
829,3762
830,531
831,1926
832,25689
833,25939
834,17681
835,36784
836,1770
837,944
838,14813
839,441
840,18919
841,3015
842,34855
843,21421
844,1368
845,623
846,5947
847,12069
848,31404
849,538
850,7785
851,10790
852,4522
853,325
854,8539
855,35363
856,1807
857,36245
858,33922
859,9203
860,7222
861,1135
862,33779
863,23301
864,6512
865,5554
866,31763
867,15781
868,19401
869,1177
870,1408
871,1005
872,2688
873,2289
874,3407
875,11785
876,1098
877,32087
878,9907
879,10506
